Current Velocity,Pstr CD = 0.35,Pstr CD = 1.0,Tmix CD = 0.35,Tmix CD 1.0,h,per
0.59,0.0103989754449,0.029711358413999998,20.45418522845478,7.158964829959174,13.0,setup
0.6,0.010936749599999997,0.031247855999999997,19.448426426087106,6.806949249130487,13.0,setup
0.61,0.0114927516711,0.032836433346,18.50754075466587,6.477639264133054,13.0,setup
0.62,0.012067285456799998,0.034477958447999994,17.62638090377469,6.169233316321144,13.0,setup
0.63,0.012660654755700001,0.036173299302,16.80028197912718,5.880098692694513,13.0,setup
0.64,0.013273163366400002,0.037923323904,16.025009567393546,5.608753348587742,13.0,setup
0.65,0.0139051150875,0.03972890025,15.296714093890992,5.353849932861848,13.0,setup
0.66,0.014556813717600002,0.04159089633600001,14.611890628164614,5.114161719857615,13.0,setup
0.67,0.015228563055300003,0.04351018015800001,13.967343416692922,4.888570195842522,13.0,setup
0.68,0.015920666899200003,0.04548761971200001,13.36015452636759,4.676054084228657,13.0,setup
0.6900000000000001,0.016633429047899998,0.04752408299399999,12.78765607041151,4.475679624644029,13.0,setup
0.7000000000000001,0.017367153299999993,0.04962043799999999,12.247405562783719,4.286591946974301,13.0,setup
0.7100000000000001,0.018122143454099994,0.05177755272599999,11.737164010144467,4.1080074035505625,13.0,setup
0.72,0.0188987033088,0.053996295167999996,11.254876403985593,3.939206741394958,13.0,setup
0.73,0.019697136662699996,0.056277533321999994,10.798654321108886,3.77952901238811,13.0,setup
0.74,0.0205177473144,0.058622135184,10.36676037953037,3.628366132835629,13.0,setup
0.75,0.021360839062499998,0.06103096875,9.957594330156597,3.485158015554809,13.0,setup
0.76,0.0222267157056,0.06350490201600001,9.569680593095782,3.349388207583523,13.0,setup
0.77,0.0231156810423,0.066044802978,9.201657071963723,3.220579975187303,13.0,setup
0.78,0.024028038871200003,0.068651539632,8.852265100631364,3.0982927852209765,13.0,setup
0.79,0.0249640929909,0.071325979974,8.520340395049505,2.9821191382673273,13.0,setup
0.8,0.025924147200000008,0.07406899200000001,8.204804898505495,2.871681714476923,13.0,setup
0.01,5.0633100000000006e-08,1.44666e-07,9307807.707718968,3257732.69770164,12.0,peak
0.02,4.0506480000000005e-07,1.157328e-06,1163475.963464871,407216.587212705,12.0,peak
0.03,1.3670936999999996e-06,3.9059819999999995e-06,344733.61880440643,120656.76658154222,12.0,peak
0.04,3.2405184000000004e-06,9.258624e-06,145434.49543310888,50902.073401588124,12.0,peak
0.05,6.329137500000002e-06,1.8083250000000003e-05,74462.46166175176,26061.861581613117,12.0,peak
0.060000000000000005,1.0936749599999997e-05,3.1247855999999996e-05,43091.702350550804,15082.095822692778,12.0,peak
