z,dens,mldU,mldL,per
10.25,1022.0,15.0,19.0,breakdown
10.5,1022.0,15.0,19.0,breakdown
10.75,1022.0,15.0,19.0,breakdown
11.0,1022.0,15.0,19.0,breakdown
11.25,1022.0,15.0,19.0,breakdown
11.5,1022.0,15.0,19.0,breakdown
11.75,1022.0,15.0,19.0,breakdown
12.0,1022.0,15.0,19.0,breakdown
12.25,1022.0,15.0,19.0,breakdown
12.5,1022.0,15.0,19.0,breakdown
12.75,1022.0,15.0,19.0,breakdown
13.0,1022.0,15.0,19.0,breakdown
13.25,1022.0,15.0,19.0,breakdown
13.5,1022.0,15.0,19.0,breakdown
13.75,1022.0,15.0,19.0,breakdown
14.0,1022.0,15.0,19.0,breakdown
14.25,1022.0,15.0,19.0,breakdown
14.5,1022.0,15.0,19.0,breakdown
14.75,1022.0,15.0,19.0,breakdown
15.0,1022.0,15.0,19.0,breakdown
15.25,1022.0625,15.0,19.0,breakdown
15.5,1022.125,15.0,19.0,breakdown
15.75,1022.1875,15.0,19.0,breakdown
16.0,1022.25,15.0,19.0,breakdown
16.25,1022.3125,15.0,19.0,breakdown
16.5,1022.375,15.0,19.0,breakdown
16.75,1022.4375,15.0,19.0,breakdown
17.0,1022.5,15.0,19.0,breakdown
17.25,1022.5625,15.0,19.0,breakdown
17.5,1022.625,15.0,19.0,breakdown
17.75,1022.6875,15.0,19.0,breakdown
18.0,1022.75,15.0,19.0,breakdown
18.25,1022.8125,15.0,19.0,breakdown
18.5,1022.875,15.0,19.0,breakdown
18.75,1022.9375,15.0,19.0,breakdown
19.0,1023.0,15.0,19.0,breakdown
19.25,1023.0,15.0,19.0,breakdown
19.5,1023.0,15.0,19.0,breakdown
19.75,1023.0,15.0,19.0,breakdown
20.0,1023.0,15.0,19.0,breakdown
20.25,1023.0,15.0,19.0,breakdown
20.5,1023.0,15.0,19.0,breakdown
20.75,1023.0,15.0,19.0,breakdown
21.0,1023.0,15.0,19.0,breakdown
21.25,1023.0,15.0,19.0,breakdown
21.5,1023.0,15.0,19.0,breakdown
21.75,1023.0,15.0,19.0,breakdown
22.0,1023.0,15.0,19.0,breakdown
22.25,1023.0,15.0,19.0,breakdown
22.5,1023.0,15.0,19.0,breakdown
22.75,1023.0,15.0,19.0,breakdown
23.0,1023.0,15.0,19.0,breakdown
23.25,1023.0,15.0,19.0,breakdown
23.5,1023.0,15.0,19.0,breakdown
23.75,1023.0,15.0,19.0,breakdown
24.0,1023.0,15.0,19.0,breakdown
24.25,1023.0,15.0,19.0,breakdown
24.5,1023.0,15.0,19.0,breakdown
24.75,1023.0,15.0,19.0,breakdown
25.0,1023.0,15.0,19.0,breakdown
